BRA,Summary
No,"Papercut: The URL bar says ""Go to a web site"", but it is capable of search now too, and should probably say something like ""Search or go to a web site""."
No,Firefox rewrites Wiktionary URL's server to wilt.wiktionary
No,autocomplete tab-switching misuses browser.urlbar.default.behavior
No,about:newtab briefly shown in location bar of new tab
No,"""Warning: function onKeyPress does not always return a value"" for autocomplete.xml"
No,Ctrl+shift+x should switch directions in location bar in RTL mode
No,Inline autocomplete drops https and completes without protocol/www.
No,some code expects urlbar to always exist
No,Location bar's placeholder in an RTL chrome should be aligned on the right
No,search autofill test leaks into later tests
No,"using Shift to bypass ""switch to tab"" doesn't work anymore (loads www.domain.com.net)"
No,Can't open popup notifications with the keyboard (focus gets stuck at the identity icon)
No,Location bar tooltip shows shortened URL when full location bar address is not visible
No,www prefix is added to URL that loads after accepting inline-autocomplete suggestion
No,"(Australis) UX branch: Intermittent failure in browser_URLBarSetURI.js | Test timed out, followed by ""Found a browser window after previous test timed out"""
No,Improve the visual style of location bar results
No,browser_bug422590.js shouldn't use chrome-privileged window.open with toolbar=no
No,"Update identity-icons-brand(@2x).png for unofficial, Nightly, and Aurora"
No,"Intermittent browser_locationBarCommand.js | Content window should be focused - Got [object XrayWrapper [object Window @ 0x2edd060 (native @ 0x4abd4d0)]], expected [object XrayWrapper [object Window @ 0x5ff9990 (native @ 0x47333e0)]] and a bunch more"
No,Regression: Keyword search's title and search param are split up
No,De-emphasize plugin icon in the Address Bar when it doesn't need to catch the user's attention
No,ASCII control characters stripped from address bar
No,Don't work arrow key on location bar when using autocomplete address
No,Site identity popup should link to explanation/support
No,URLs auto-completed in address bar might unexpectedly use ftp:// instead of http://
No,Paste & Go should only appear when the clipboard is a URL
No,"Prefixing text in the location bar with ""?"" includes that in the search"
No,Paste-and-go should appear when the clipboard's contents might reasonably be construed to be a URL
No,Paste & Go and Paste & Search should always replace the entire contents of the textbox
No,"Don't distinguish an url or not for ""Paste & Go"""
No,"Hovering links shows ""moz-action:switchtab"" text and hides ""Switch to tab:"" label in URL bar when it contains a switch-to-tab URL"
No,Identity doorhangers should anchor off of the identity icon
No,"Forward button takes up space even when it's hidden, perhaps with australis customization"
No,Use currently selected search engine in search bar for searches in the location bar
No,domain highlighting doesn't work with IPv6 literals
No,location bar input should not be dependent on how long it takes the user to press enter
No,domain highlighting lightens and de-emphasizes the rest of URL too much
No,Weird highlighting when adding text to an existing address
No,"""aBrowser is null"" in _setPluginNotificationIcon"
No,Lock icon doesn't appear in location bar when surfing a secure site
No,Switching tabs from a Nightly/UX tab to a Nightly/UX tab and then changing the URL maintains the Nightly/UX icon.
No,Australis: Small windows lose the reload button
No,completion in urlbar is copied to X primary selection
No,Remove obsolete star-button element
No,tresize talos regression on January 28th team seen on fx-team
No,Create design spec for Search Prompt in awesomebar results
No,Interaction design for search query callout
No,[Australis] urlbar with EV SSL overlaps searchbar in narrow window
No,"[Australis] Remove the ""Open Location"" dialog (openLocation.xul)"
No,'h' entered as first letter in location bar is overwritten with 'w' when browser.urlbar.autoFill is true
No,browser/base/content/test/general/browser_urlbar_search_healthreport.js attempts to connect to www.google.com
No,Visual design for search terms in the search query callout
No,[UX] - Styling updates for the Awesome Bar auto-complete
No,[UX] - The top auto-complete should reflect the intended action
No,getShortcutOrURIAndPostData should have a synchronous callback behavior
No,Location bar shouldn't strip whitespace when pasting
No,Pasting data URIs to the location bar doesn't work after Bug 1018154
No,Clicking the green text on the EV indicator a second time doesn't dismiss the EV information
No,URL spoofing with credentials info of URL & 204
No,[UX] Design Spike: Awesomebar explorations
No,Switch to tab magic URL leakage
No,Enhance previous searches in awesomebar dropdown by removing URL
No,"[CAL-2012-0001]Spoof after a URL is dragged to location bar, by canceling the load"
No,Ctrl+Shift+X does not work in URL bar in RTL locales
No,Search terms with multiple spaces are displayed with plus signs in the location bar
No,autoFill should obey history-only or bookmarks-only autocomplete options
No,"entering square brackets in location bar crashes [@ nsDefaultURIFixup::KeywordURIFixup(nsACString_internal const&, nsDefaultURIFixupInfo*, nsIInputStream**) ]"
No,Intermittent browser_urlbarSearchSingleWordNotification.js | Test timed out | Found a browser window after previous test timed out
No,Prepend http:// to URL on drag and drop operations from the location bar
No,Use a chrome icon for chrome URLs in the location bar
No,Holding Alt/Shift on the address for a few seconds will override Switch to tab even after you release the button.
No,Add a way to specify that nsDefaultURIFixup should obey the domain whitelist when not using keyword searches
No,disable unified autocomplete for Firefox 34
No,Shift + Switch to Tab no longer respected
No,[UX] Handle bookmarked past searches
No,Location bar loads address including >> instead of just the replaced address
No,Address Bar not working
No,"Add ""(engine) Search"" label for past search results in the location bar"
No,Wrong search terms are highlighted on Google
No,[UX] Visual design for Awesome Bar layout cleanup
No,Breakdown: Show the action that will be triggered when pressing enter in a pre-selected dropdown entry
No,"Wrong URL loads after autofill of a hostname that matches a search engine, e.g. https://twitter.com/search-home"
No,Unified Autocomplete: Strange border between globe icon and search term
No,Autocomplete results for aliased search engines should use the search engine icon
No,Accessing IPv6 URLs without typing the protocol and the first bracket throws a JS error in the Browser Console
No,Disable UnifiedComplete for Firefox 35
No,opening a new Private Browsing Window doesn't focus the location bar
No,localhost URLs with spaces are redirected to search when opened from history drop-down
No,Improve display of entries without a title in the Awesomebar
No,Intermittent browser_urlbarSearchSingleWordNotification.js | A promise chain failed to handle a rejection: - at tabbrowser.xml:5330 - TypeError: gBrowser._cancelTabSwitch is not a function
No,"Selecting a moz-action: result then typing more can result in ""Search X for moz-action:..."" item"
No,"Awesome Bar: Firefox suggests ""[keyword] – Search with [default search engine]"" when entering ""[keyword][space]"", but loads the search engine related to the keyword"
No,Private Windows shouldn't disable switch-to-tab by disabling all autocomplete actions
No,Can't arrow back into location bar once the autocomplete popup has been shown by arrowing down
No,"location bar should use search for lat/long or expressions that contain a decimal, instead of ""server not found"""
No,Move FHR reporting of keyword searches out of nsDefaultURIFixup.getFixupURIInfo()
No,Origin spoofing when URL is copied to the URL bar
No,Remove the star for non-bookmark behavior (followup from bug 530209)
No,"With RTL UI, click and drag in the address bar moves the window instead of selecting text"
No,Can't copy URL by right click it the first time
